No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
33,SSL 157,SSL 157," 	240,120 "," 	200,100 ",warna:,Coklat Kombinasi,",",Bahan:,Kelly-Hycon,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
34,SFT 543,SFT 543," 	276,720 "," 	230,600 ",warna:,Biru,",",Bahan:,Hycon-Spandek,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
35,SNS 692,SNS 692," 	246,960 "," 	205,800 ",warna:,Hijkng,",",Bahan:,Hycon,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
36,SHJ 299,SHJ 299," 	165,000 "," 	137,500 ",warna:,Coklat,",",Bahan:,Cotton,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
37,SPX 060,SPX 060," 	213,480 "," 	177,900 ",warna:,Pink Abu,",",Bahan:,Spandek,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
38,SNS 922,SNS 922," 	228,960 "," 	190,800 ",warna:,Hijau Abu,",",Bahan:,Spandek,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
39,SLF 244,SLF 244," 	180,600 "," 	150,500 ",warna:,Abu,",",Bahan:,Denim,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
40,SHJ 037,SHJ 037," 	224,760 "," 	187,300 ",warna:,Ungu Kombinasi,",",Bahan:,Sifon-Jersey,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
41,SNS 238,SNS 238," 	256,560 "," 	213,800 ",warna:,Tosca,",",Bahan:,Hycon,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
42,SNS 056,SNS 056," 	237,600 "," 	198,000 ",warna:,Coklat Kombinasi,",",Bahan:,Cotton,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
43,SNS 861,SNS 861," 	208,320 "," 	173,600 ",warna:,Biru,",",Bahan:,Denim,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
44,SHJ 888,SHJ 888," 	233,520 "," 	194,600 ",warna:,Tosca,",",Bahan:,Sifon-Jersey,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
45,SHJ 535,SHJ 535," 	224,760 "," 	187,300 ",warna:,Cream Kombinasi,",",Bahan:,Btk-Jersey,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
46,SOP 763,SOP 763," 	225,600 "," 	188,000 ",warna:,Abu Hijau,",",Bahan:,Spandek,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
47,SNS 951,SNS 951," 	237,600 "," 	198,000 ",warna:,Coklat Tua,",",Bahan:,Cotton Rayon,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
